accountAgeDays,numItems,localTime,paymentMethod,paymentMethodAgeDays,label
29,1,4.75,paypal,28.0,0
725,1,4.74,storecredit,0.0,0
845,1,4.92,creditcard,0.0,0
503,1,4.89,creditcard,0.0,0
2000,1,5.04,creditcard,0.0,0
119,1,4.96,paypal,0.0,0
2000,1,4.92,paypal,0.0,0
371,1,4.88,creditcard,0.0,0
2000,1,4.75,creditcard,0.0,0
4,1,4.46,creditcard,0.0,0
26,1,4.75,paypal,0.0,0
2000,1,4.51,creditcard,0.0,0
3,1,4.96,creditcard,3.0,0
3,1,4.92,creditcard,2.0,0
23,1,4.75,creditcard,0.0,0
5,1,4.92,paypal,4.0,0
1208,1,4.84,creditcard,0.0,0
11,1,4.92,creditcard,11.0,0
123,1,4.75,creditcard,0.0,0
2000,1,4.9,creditcard,249.0,0
1672,1,5.03,creditcard,979.0,0
36,1,4.74,creditcard,0.0,0
16,1,4.89,creditcard,16.0,0
278,1,5.03,creditcard,7.0,0
223,1,4.75,creditcard,0.0,0
30,1,4.06,creditcard,0.0,0
2,1,4.92,creditcard,0.0,0
2000,1,3.48,creditcard,503.0,0
1936,1,4.06,creditcard,636.0,0
2000,1,4.92,creditcard,949.0,0
2,1,4.51,creditcard,1.0,0
2000,1,4.84,creditcard,0.0,0
998,1,4.92,creditcard,0.0,0
914,1,4.46,creditcard,0.0,0
23,1,2.6,creditcard,0.0,0
2000,1,5.02,creditcard,0.0,0
2,1,4.84,creditcard,2.0,0
19,1,4.51,paypal,0.0,0
18,1,4.97,creditcard,0.0,0
1562,1,4.51,creditcard,981.0,0
288,1,4.75,paypal,0.0,0
310,1,4.97,creditcard,97.0,0
2,1,4.92,creditcard,0.0,0
2000,1,4.97,storecredit,0.0,0
2,1,5.03,creditcard,1.0,0
2000,1,4.52,paypal,0.0,0
1144,1,4.88,creditcard,1143.0,0
1743,1,4.84,creditcard,368.0,0
817,1,4.96,creditcard,0.0,0
2000,1,4.74,creditcard,0.0,0
179,1,4.92,storecredit,0.0,0
2000,1,4.89,storecredit,212.0,0
204,1,4.89,creditcard,0.0,0
2000,1,4.75,paypal,641.0,0
2000,1,4.97,creditcard,348.0,0
546,1,4.9,paypal,0.0,0
2000,1,4.92,paypal,597.0,0
1409,1,4.96,creditcard,0.0,0
210,1,4.88,creditcard,0.0,0
2000,1,4.75,paypal,1035.0,0
107,1,4.96,creditcard,4.0,0
406,1,4.84,creditcard,405.0,0
34,1,4.96,creditcard,34.0,0
200,1,2.95,creditcard,200.0,0
638,1,4.96,creditcard,0.0,0
32,1,4.06,paypal,23.0,0
684,1,4.97,paypal,316.0,0
2000,1,4.52,creditcard,709.0,0
1657,1,4.92,creditcard,26.0,0
1133,1,4.92,creditcard,66.0,0
4,1,5.02,creditcard,3.0,0
599,1,4.96,creditcard,0.0,0
2000,1,5.03,paypal,545.0,0
162,2,4.75,creditcard,162.0,0
1407,1,4.96,creditcard,0.0,0
2000,1,4.51,creditcard,0.0,0
535,1,4.74,creditcard,37.0,0
735,1,4.75,creditcard,0.0,0
1657,1,3.07,paypal,245.0,0
3,1,4.88,creditcard,3.0,0
1397,1,4.75,creditcard,343.0,0
222,1,4.92,creditcard,221.0,0
913,1,4.9,creditcard,0.0,0
1843,1,5.04,creditcard,0.0,0
19,1,4.89,creditcard,0.0,0
2000,1,5.02,creditcard,225.0,0
2000,1,4.74,paypal,259.0,0
1014,1,4.97,creditcard,666.0,0
964,1,4.88,creditcard,0.0,0
66,1,4.75,paypal,1.0,0
544,1,4.97,paypal,0.0,0
1866,1,4.74,paypal,145.0,0
2000,1,3.58,creditcard,777.0,0
601,1,3.95,creditcard,0.0,0
954,1,4.89,creditcard,1.0,0
211,1,4.51,storecredit,202.0,0
2000,1,4.88,creditcard,0.0,0
883,3,4.51,paypal,424.0,0
1183,1,4.96,creditcard,0.0,0
