accountAgeDays,numItems,localTime,paymentMethod,paymentMethodAgeDays,label,ord__paymentMethod
29.0,1.0,4.75,paypal,28.0,0.0,1.0
725.0,1.0,4.74,storecredit,0.0,0.0,2.0
845.0,1.0,4.92,creditcard,0.0,0.0,0.0
503.0,1.0,4.89,creditcard,0.0,0.0,0.0
2000.0,1.0,5.04,creditcard,0.0,0.0,0.0
119.0,1.0,4.96,paypal,0.0,0.0,1.0
2000.0,1.0,4.92,paypal,0.0,0.0,1.0
371.0,1.0,4.88,creditcard,0.0,0.0,0.0
2000.0,1.0,4.75,creditcard,0.0,0.0,0.0
4.0,1.0,4.46,creditcard,0.0,0.0,0.0
26.0,1.0,4.75,paypal,0.0,0.0,1.0
2000.0,1.0,4.51,creditcard,0.0,0.0,0.0
3.0,1.0,4.96,creditcard,3.0,0.0,0.0
3.0,1.0,4.92,creditcard,2.0,0.0,0.0
23.0,1.0,4.75,creditcard,0.0,0.0,0.0
5.0,1.0,4.92,paypal,4.0,0.0,1.0
1208.0,1.0,4.84,creditcard,0.0,0.0,0.0
11.0,1.0,4.92,creditcard,11.0,0.0,0.0
123.0,1.0,4.75,creditcard,0.0,0.0,0.0
2000.0,1.0,4.9,creditcard,249.0,0.0,0.0
1672.0,1.0,5.03,creditcard,979.0,0.0,0.0
36.0,1.0,4.74,creditcard,0.0,0.0,0.0
16.0,1.0,4.89,creditcard,16.0,0.0,0.0
278.0,1.0,5.03,creditcard,7.0,0.0,0.0
223.0,1.0,4.75,creditcard,0.0,0.0,0.0
30.0,1.0,4.06,creditcard,0.0,0.0,0.0
2.0,1.0,4.92,creditcard,0.0,0.0,0.0
2000.0,1.0,3.48,creditcard,503.0,0.0,0.0
1936.0,1.0,4.06,creditcard,636.0,0.0,0.0
2000.0,1.0,4.92,creditcard,949.0,0.0,0.0
2.0,1.0,4.51,creditcard,1.0,0.0,0.0
2000.0,1.0,4.84,creditcard,0.0,0.0,0.0
998.0,1.0,4.92,creditcard,0.0,0.0,0.0
914.0,1.0,4.46,creditcard,0.0,0.0,0.0
23.0,1.0,2.6,creditcard,0.0,0.0,0.0
2000.0,1.0,5.02,creditcard,0.0,0.0,0.0
2.0,1.0,4.84,creditcard,2.0,0.0,0.0
19.0,1.0,4.51,paypal,0.0,0.0,1.0
18.0,1.0,4.97,creditcard,0.0,0.0,0.0
1562.0,1.0,4.51,creditcard,981.0,0.0,0.0
288.0,1.0,4.75,paypal,0.0,0.0,1.0
310.0,1.0,4.97,creditcard,97.0,0.0,0.0
2.0,1.0,4.92,creditcard,0.0,0.0,0.0
2000.0,1.0,4.97,storecredit,0.0,0.0,2.0
2.0,1.0,5.03,creditcard,1.0,0.0,0.0
2000.0,1.0,4.52,paypal,0.0,0.0,1.0
1144.0,1.0,4.88,creditcard,1143.0,0.0,0.0
1743.0,1.0,4.84,creditcard,368.0,0.0,0.0
817.0,1.0,4.96,creditcard,0.0,0.0,0.0
2000.0,1.0,4.74,creditcard,0.0,0.0,0.0
179.0,1.0,4.92,storecredit,0.0,0.0,2.0
2000.0,1.0,4.89,storecredit,212.0,0.0,2.0
204.0,1.0,4.89,creditcard,0.0,0.0,0.0
2000.0,1.0,4.75,paypal,641.0,0.0,1.0
2000.0,1.0,4.97,creditcard,348.0,0.0,0.0
546.0,1.0,4.9,paypal,0.0,0.0,1.0
2000.0,1.0,4.92,paypal,597.0,0.0,1.0
1409.0,1.0,4.96,creditcard,0.0,0.0,0.0
210.0,1.0,4.88,creditcard,0.0,0.0,0.0
2000.0,1.0,4.75,paypal,1035.0,0.0,1.0
107.0,1.0,4.96,creditcard,4.0,0.0,0.0
406.0,1.0,4.84,creditcard,405.0,0.0,0.0
34.0,1.0,4.96,creditcard,34.0,0.0,0.0
200.0,1.0,2.95,creditcard,200.0,0.0,0.0
638.0,1.0,4.96,creditcard,0.0,0.0,0.0
32.0,1.0,4.06,paypal,23.0,0.0,1.0
684.0,1.0,4.97,paypal,316.0,0.0,1.0
2000.0,1.0,4.52,creditcard,709.0,0.0,0.0
1657.0,1.0,4.92,creditcard,26.0,0.0,0.0
1133.0,1.0,4.92,creditcard,66.0,0.0,0.0
4.0,1.0,5.02,creditcard,3.0,0.0,0.0
599.0,1.0,4.96,creditcard,0.0,0.0,0.0
2000.0,1.0,5.03,paypal,545.0,0.0,1.0
162.0,2.0,4.75,creditcard,162.0,0.0,0.0
1407.0,1.0,4.96,creditcard,0.0,0.0,0.0
2000.0,1.0,4.51,creditcard,0.0,0.0,0.0
535.0,1.0,4.74,creditcard,37.0,0.0,0.0
735.0,1.0,4.75,creditcard,0.0,0.0,0.0
